URL,Year,,Title,LGA,State,file number,filename
https://www.mansfield.vic.gov.au/Council/Plans-Strategies-Policies/Key-Strategic-Documents/Climate-Action-Plan,2021,,Climate Action Plan,Mansfield Shire Council,VIC,,Mansfield-2021-climate-action-plan.pdf
https://www.maribyrnong.vic.gov.au/files/content/public/residents/our-environment/climate-emergency/climate-emergency-strategy-2020.pdf,2021,2025,Climate Emergency Strategy,Maribyrnong City,VIC,184,Maribyrnong-2021-climate-emergency-action-plan.pdf
https://www.maroondah.vic.gov.au/files/assets/public/documents/policies/climate-change-risk-and-adaptation-strategy-1.pdf,2018,2022,Climate Change Risk and Adaptation Strategy,Maroondah City,VIC,185,Maroondah-2018-climate-risk-adaptation.pdf
https://www.maroondah.vic.gov.au/About-Council/Planning-for-our-future/Strategies-and-plans/Sustainability-Strategy-2022-2031,2022,2031,Sustainability Strategy,Maroondah City,VIC,,Maroondah-sustainability-strategy-2022-2031.pdf
http://www.melbourne.vic.gov.au/sitecollectiondocuments/climate-change-mitigation-strategy-2050.pdf,2018,,CLIMATE CHANGE MITIGATION STRATEGY TO 2050 MELBOURNE TOGETHER FOR 1.5°C,Melbourne City,VIC,146,Melbourne-2018-climate-change-mitigation-strategy.pdf
https://www.melton.vic.gov.au/Services/Environment-and-sustainability/Environmental-strategies,2020,2030,Climate Change Adaptation Plan,Melton City Council,VIC,,Melton-Climate-Change-Adaptation-Plan-2020-2030.pdf
https://www.melton.vic.gov.au/Services/Environment-and-sustainability/Environmental-strategies,2017,2027,Environment Plan,Melton City Council,VIC,,Melton-Environment-Plan-2017-2027.pdf
https://zerocarbonmerri-bek.org.au/about/about/,2022,2025,Zero Carbon Moreland - Climate Emergency Action Plan,Merri-bek,VIC,190,Merribek-2022-Zero-Carbon-Climate-Emergency-Action-Plan.pdf
https://www.mildura.vic.gov.au/Services/Environmental-Sustainability/Climate-Change,2024,2029,Community Climate Response Plan,Mildura Rural City Council,VIC,,Mildura-Community-Climate-Response-Plan-2024-2029.pdf
,2024,,Climate Emergency Action Plan,Mitchell Shire,VIC,,Mitchell-2024-Climate-Emergency-Action-Plan.pdf
https://www.moira.vic.gov.au/files/sharedassets/public/01-residents/environment/d18-47934-final-moira-corporate-emissions-reduction-plan-2018-21-print2.pdf,2018,2021,Corporate Emissions Reduction Plan,Moira Shire,VIC,188,Moira-2018-corporate-emissions-reduction-plan.pdf
https://www.monash.vic.gov.au/About-Us/Corporate-Strategies-Plans/Plans-and-Strategies/Zero-Net-Carbon-Action-Plan,2020,2025,Zero Net Carbon Action Plan,Monash City Council,VIC,,Monash-zero-net-carbon-action-plan-final.pdf
https://mvcc.vic.gov.au/wp-content/uploads/2020/09/20-101200-MV2040-Action-Plan-Green-Designed-version-Endorsed-28-July-20202-1.pdf,,2040,MV2040 Action Plan Green,Moonee Valley City,VIC,147,MooneeValley-mv2040-action-plan.pdf
https://www.moorabool.vic.gov.au/About-Council/Council-administration/Policies-plans-and-strategies?dlv_OC%20CL%20Public%20DocLib%20Relative=(pageindex=6),2016,2026,Sustainable Environment Strategy,Moorabool Shire Council,VIC,,Moorabool-Sustainable-Environment-Strategy-2016-26.pdf
https://www.mornpen.vic.gov.au/files/assets/public/new-website-documents/about-us/strategies-amp-plans/docs/climate-change-community-engagement-strategy.pdf,2018,,Climate Change Community Engagement Strategy,Mornington Peninsula Shire,VIC,191,Mornington-2018-climate-community-engagement.pdf
https://www.mornpen.vic.gov.au/files/assets/public/new-website-documents/your-property/environment/climate-change/docs/climate-emergency-ensuring-our-future-2020-full.pdf,2020,2030,"Our Climate Emergency Response From 2020 to 2030 A place where people and nature thrive, Ensuring our future",Mornington Peninsula Shire,VIC,150,Mornington-2020-climate-emergency-response.pdf
https://www.moyne.vic.gov.au/Your-Council/Publications/Documents-plans-Strategies-and-Reports?dlv_OC%20CL%20Public%20DocLib%20Relative=(pageindex=2),2015,,Environmental Sustainability Strategy,Moyne Shire Council,VIC,,Moyne-Environmental_Sustainability_Strategy_Revised_May_2015.pdf
https://www.mountalexander.vic.gov.au/files/Environment/Climate_Change_Action_Plan_Mount_Alexander_Shire_Council_2016.pdf,2016,2020,Climate Change Action Plan,Mount Alexander Shire,VIC,193,MtAlexander-2016-climate-action-plan.pdf
https://www.mountalexander.vic.gov.au/Files/Policies/Roadmap_to_Carbon_Neutrality_-_2020.pdf,2020,2025,Roadmap to Carbon Neutrality,Mount Alexander Shire,VIC,194,MtAlexander-2020-roadmap-carbon-neutrality.pdf
https://www.murrindindi.vic.gov.au/Your-Property/Environment/Climate-Change-Action,2022,2035,Climate Change Action Plan,Murrindindi Shire Council,VIC,,Murrindindi-Climate-Change-Action-Plan-V4.pdf
https://www.nillumbik.vic.gov.au/files/assets/public/explore/climate-and-sustainability/climate-action-plan-2022-2032.pdf,2022,2032,Climate Action Plan,Nillumbik Shire,VIC,151,Nillumbik-2022-climate-action-plan.pdf
,2023,,Act and Adapt Sustainable Environment Strategy,Port Phillip Council,VIC,,PortPhillip-2023-Act-and-Adapt-Sustainable-Environment-Strategy.pdf
https://www.pyrenees.vic.gov.au/files/assets/public/v/1/council-publications/strategic-plans/2021.02.21-climate-change-response-mitigation-plan.pdf,2021,,Climate Change Response & Mitigation Plan,Pyrenees Shire,VIC,,Pyrenees-2021-Climate-Change-Response-Mitigation-Plan.pdf
https://www.queenscliffe.vic.gov.au/files/assets/public/documents/your-council/projects/climate-emergency-response-plan/borough-of-queenscliff-climate-emergency-response-plan-final-2021.pdf,2021,2031,Climate Emergency Response Plan 2021-2031,Borough of Queenscliffe,VIC,126,Queenscliffe-2021-climate-emergency-response-plan.pdf
